deal_id,account_name,rep_id,product,deal_amount,created_date,original_expected_close_date,current_expected_close_date,actual_close_date,current_stage,status,lost_reason
D00001,SilverLoop LLC,R005,Pro,20400,2025-09-10,2025-10-26,2025-10-28,2025-09-29,Demo,Closed Lost,Lost to competitor
D00002,DeltaPeak Group,R006,Starter,4800,2026-05-04,2026-06-09,2026-06-12,2026-06-15,Negotiation,Closed Lost,Legal/procurement stalled
D00003,SilverLabs Ltd.,R008,Starter,3700,2025-10-20,2025-11-25,2025-11-26,2025-12-01,Negotiation,Closed Won,
D00004,SilverMetrics LLC,R011,Starter,4500,2026-02-26,2026-04-03,2026-04-06,2026-04-13,Negotiation,Closed Won,
D00005,LumenWave Co.,R005,Starter,4200,2026-05-01,2026-06-06,2026-06-06,2026-05-29,Negotiation,Closed Won,
D00006,IonicLoop Group,R001,Pro,11900,2026-05-29,2026-07-14,2026-07-15,2026-06-29,Negotiation,Closed Won,
D00007,NimbusPeak Group,R011,Pro,19000,2024-02-25,2024-04-11,2024-05-01,2024-04-28,Negotiation,Closed Won,
D00008,DeltaPath Inc.,R007,Starter,5000,2024-06-17,2024-07-23,2024-07-24,2024-07-03,Demo,Closed Lost,Lost to competitor
D00009,VertexPath Group,R009,Starter,7800,2025-05-29,2025-07-04,2025-07-04,2025-07-01,Negotiation,Closed Won,
D00010,CobaltField LLC,R002,Starter,4100,2025-07-30,2025-09-04,2025-09-26,2025-10-06,Negotiation,Closed Lost,Legal/procurement stalled
D00011,OrbitGrid Group,R006,Starter,6200,2026-01-04,2026-02-09,2026-02-11,2026-01-14,Qualified,Closed Lost,No budget
D00012,SummitLogic Co.,R009,Starter,3400,2025-03-13,2025-04-18,2025-04-21,2025-04-14,Negotiation,Closed Won,
D00013,HarborWorks LLC,R003,Pro,13600,2024-01-26,2024-03-12,2024-03-12,2024-02-21,Proposal,Closed Lost,Price too high
D00014,PinnacleMetrics Ltd.,R005,Starter,5500,2026-03-02,2026-04-07,2026-04-15,2026-04-17,Negotiation,Closed Won,
D00015,IonicLogic Ltd.,R012,Pro,14200,2026-01-29,2026-03-16,2026-03-16,2026-03-10,Negotiation,Closed Won,
D00016,RedwoodPeak Group,R008,Starter,6400,2024-11-25,2024-12-31,2025-01-06,2025-01-15,Negotiation,Closed Won,
D00017,SilverBridge Co.,R003,Pro,8100,2024-09-06,2024-10-22,2024-10-23,2024-09-19,Qualified,Closed Lost,No budget
D00018,QuartzWave Co.,R009,Enterprise,81600,2025-11-14,2026-01-22,2026-01-22,2025-12-19,Negotiation,Closed Won,
D00019,SolaceMetrics Co.,R012,Starter,4100,2026-06-04,2026-07-10,2026-07-19,,Negotiation,Open,
D00020,IonicField Inc.,R007,Pro,14600,2024-10-06,2024-11-21,2024-11-22,2024-11-12,Negotiation,Closed Won,
D00021,SummitField Inc.,R009,Starter,7800,2026-02-06,2026-03-14,2026-03-16,2026-03-21,Negotiation,Closed Won,
D00022,LumenSystems Co.,R010,Pro,24300,2024-11-15,2024-12-31,2025-01-04,2024-12-29,Negotiation,Closed Won,
D00023,DeltaField Ltd.,R009,Enterprise,50700,2026-01-21,2026-03-31,2026-04-04,2026-03-07,Negotiation,Closed Won,
D00024,ClearWorks Inc.,R009,Starter,7700,2024-10-09,2024-11-14,2024-11-14,2024-11-10,Negotiation,Closed Lost,Lost to competitor
D00025,SilverPoint Inc.,R012,Starter,4100,2026-02-19,2026-03-27,2026-03-27,2026-03-21,Proposal,Closed Lost,Lost to competitor
D00026,RedwoodField Inc.,R008,Starter,3900,2025-04-25,2025-05-31,2025-06-01,2025-05-08,Qualified,Closed Lost,No budget
D00027,SolaceBridge LLC,R009,Pro,18300,2024-05-01,2024-06-16,2024-06-21,2024-06-12,Negotiation,Closed Lost,Went dark
D00028,SolaceSystems Ltd.,R012,Starter,7300,2026-05-22,2026-06-27,2026-06-27,2026-06-09,Demo,Closed Lost,No internal champion
D00029,LumenMetrics LLC,R002,Pro,13200,2025-03-25,2025-05-10,2025-05-13,2025-05-12,Negotiation,Closed Lost,Legal/procurement stalled
D00030,PinnaclePoint Inc.,R007,Pro,16400,2026-06-29,2026-08-14,2026-08-18,,Proposal,Open,
D00031,NimbusMetrics LLC,R008,Starter,3900,2025-07-09,2025-08-14,2025-09-05,2025-09-10,Negotiation,Closed Lost,Lost to competitor
D00032,NimbusWorks LLC,R007,Pro,24700,2024-10-06,2024-11-21,2024-11-23,2024-11-18,Negotiation,Closed Lost,Legal/procurement stalled
D00033,LumenPath Co.,R007,Pro,13500,2025-07-10,2025-08-25,2025-08-29,2025-08-15,Negotiation,Closed Won,
D00034,SilverBridge Co.,R003,Starter,6900,2025-11-01,2025-12-07,2025-12-07,2025-12-10,Negotiation,Closed Won,
D00035,HarborStream Co.,R001,Starter,7000,2026-07-14,2026-08-19,2026-08-19,,Qualified,Open,
D00036,BrightPoint Group,R003,Starter,6200,2025-08-20,2025-09-25,2025-10-01,2025-10-06,Negotiation,Closed Won,
D00037,CobaltWave LLC,R011,Pro,24600,2025-08-02,2025-09-17,2025-09-28,2025-09-27,Negotiation,Closed Lost,Went dark
D00038,HarborPoint Ltd.,R003,Starter,6900,2025-03-01,2025-04-06,2025-04-09,2025-03-24,Demo,Closed Lost,Lost to competitor
D00039,AnchorBridge Inc.,R007,Starter,5700,2026-03-20,2026-04-25,2026-05-01,2026-05-06,Negotiation,Closed Lost,Lost to competitor
D00040,FusionCore LLC,R003,Starter,4900,2026-06-23,2026-07-29,2026-07-30,,Proposal,Open,
D00041,QuartzField Co.,R004,Enterprise,115200,2026-05-21,2026-07-29,2026-08-01,2026-06-26,Negotiation,Closed Won,
D00042,NorthBridge Group,R003,Starter,6900,2026-04-19,2026-05-25,2026-06-02,2026-06-09,Negotiation,Closed Won,
D00043,LumenLoop Group,R008,Pro,15500,2024-04-20,2024-06-05,2024-06-19,2024-06-11,Negotiation,Closed Won,
D00044,SolaceField LLC,R007,Starter,4300,2024-11-16,2024-12-22,2024-12-26,2024-12-24,Negotiation,Closed Lost,Went dark
D00045,AnchorMetrics LLC,R004,Starter,5400,2026-06-19,2026-07-25,2026-07-25,2026-07-17,Proposal,Closed Lost,Lost to competitor
D00046,SolacePath Inc.,R003,Pro,14800,2024-07-04,2024-08-19,2024-08-21,2024-07-27,Demo,Closed Lost,Lost to competitor
D00047,SummitGrid Group,R007,Pro,15500,2025-11-08,2025-12-24,2025-12-31,2025-12-24,Negotiation,Closed Won,
D00048,HarborCore Inc.,R009,Pro,19400,2024-08-23,2024-10-08,2024-10-28,2024-10-22,Negotiation,Closed Won,
D00049,RedwoodBridge Ltd.,R012,Starter,4700,2024-11-13,2024-12-19,2024-12-19,2024-12-23,Negotiation,Closed Won,
D00050,RedwoodLabs Co.,R006,Enterprise,84600,2025-10-01,2025-12-09,2025-12-11,2025-11-10,Negotiation,Closed Won,
D00051,QuartzLabs Group,R009,Starter,3300,2025-05-02,2025-06-07,2025-06-07,2025-06-10,Negotiation,Closed Lost,Lost to competitor
D00052,BrightWorks LLC,R011,Enterprise,82300,2026-01-11,2026-03-21,2026-04-06,2026-03-01,Negotiation,Closed Won,
D00053,IonicWorks Co.,R006,Enterprise,71200,2026-05-13,2026-07-21,2026-07-30,2026-07-01,Negotiation,Closed Won,
D00054,PinnaclePoint Inc.,R005,Pro,21300,2025-09-17,2025-11-02,2025-11-06,2025-10-30,Negotiation,Closed Won,
D00055,RapidLoop Inc.,R003,Starter,7500,2026-02-20,2026-03-28,2026-03-28,2026-03-02,Qualified,Closed Lost,Not the right time
D00056,ClearPoint Co.,R006,Enterprise,104700,2024-01-29,2024-04-07,2024-04-08,2024-02-15,Demo,Closed Lost,No internal champion
D00057,QuartzCore Ltd.,R010,Pro,9900,2026-01-14,2026-03-01,2026-03-04,2026-02-23,Negotiation,Closed Lost,Legal/procurement stalled
D00058,LumenPath LLC,R008,Starter,4900,2025-02-03,2025-03-11,2025-03-13,2025-03-12,Negotiation,Closed Lost,Legal/procurement stalled
D00059,OrbitWave LLC,R001,Starter,4600,2026-05-11,2026-06-16,2026-06-17,2026-05-24,Qualified,Closed Lost,Not the right time
D00060,FusionStream Group,R012,Starter,7800,2025-02-13,2025-03-21,2025-03-23,2025-03-19,Negotiation,Closed Won,
D00061,RapidLogic LLC,R001,Starter,6200,2026-03-21,2026-04-26,2026-04-27,2026-03-29,Qualified,Closed Lost,No budget
