deal_id,stage_name,date_entered,date_exited
D00001,Lead,2025-09-10,2025-09-15
D00001,Qualified,2025-09-15,2025-09-24
D00001,Demo,2025-09-24,2025-09-29
D00002,Lead,2026-05-04,2026-05-10
D00002,Qualified,2026-05-10,2026-05-18
D00002,Demo,2026-05-18,2026-05-29
D00002,Proposal,2026-05-29,2026-06-08
D00002,Negotiation,2026-06-08,2026-06-15
D00003,Lead,2025-10-20,2025-10-24
D00003,Qualified,2025-10-24,2025-10-31
D00003,Demo,2025-10-31,2025-11-11
D00003,Proposal,2025-11-11,2025-11-23
D00003,Negotiation,2025-11-23,2025-12-01
D00004,Lead,2026-02-26,2026-03-02
D00004,Qualified,2026-03-02,2026-03-10
D00004,Demo,2026-03-10,2026-03-19
D00004,Proposal,2026-03-19,2026-04-01
D00004,Negotiation,2026-04-01,2026-04-13
D00005,Lead,2026-05-01,2026-05-03
D00005,Qualified,2026-05-03,2026-05-04
D00005,Demo,2026-05-04,2026-05-08
D00005,Proposal,2026-05-08,2026-05-22
D00005,Negotiation,2026-05-22,2026-05-29
D00006,Lead,2026-05-29,2026-05-30
D00006,Qualified,2026-05-30,2026-06-07
D00006,Demo,2026-06-07,2026-06-13
D00006,Proposal,2026-06-13,2026-06-23
D00006,Negotiation,2026-06-23,2026-06-29
D00007,Lead,2024-02-25,2024-03-02
D00007,Qualified,2024-03-02,2024-03-06
D00007,Demo,2024-03-06,2024-03-20
D00007,Proposal,2024-03-20,2024-04-17
D00007,Negotiation,2024-04-17,2024-04-28
D00008,Lead,2024-06-17,2024-06-21
D00008,Qualified,2024-06-21,2024-06-29
D00008,Demo,2024-06-29,2024-07-03
D00009,Lead,2025-05-29,2025-05-30
D00009,Qualified,2025-05-30,2025-06-06
D00009,Demo,2025-06-06,2025-06-14
D00009,Proposal,2025-06-14,2025-06-24
D00009,Negotiation,2025-06-24,2025-07-01
D00010,Lead,2025-07-30,2025-08-04
D00010,Qualified,2025-08-04,2025-08-11
D00010,Demo,2025-08-11,2025-08-25
D00010,Proposal,2025-08-25,2025-09-23
D00010,Negotiation,2025-09-23,2025-10-06
D00011,Lead,2026-01-04,2026-01-11
D00011,Qualified,2026-01-11,2026-01-14
D00012,Lead,2025-03-13,2025-03-16
D00012,Qualified,2025-03-16,2025-03-19
D00012,Demo,2025-03-19,2025-04-01
D00012,Proposal,2025-04-01,2025-04-07
D00012,Negotiation,2025-04-07,2025-04-14
D00013,Lead,2024-01-26,2024-01-31
D00013,Qualified,2024-01-31,2024-02-05
D00013,Demo,2024-02-05,2024-02-11
D00013,Proposal,2024-02-11,2024-02-21
D00014,Lead,2026-03-02,2026-03-06
D00014,Qualified,2026-03-06,2026-03-15
D00014,Demo,2026-03-15,2026-03-31
D00014,Proposal,2026-03-31,2026-04-12
D00014,Negotiation,2026-04-12,2026-04-17
D00015,Lead,2026-01-29,2026-02-03
D00015,Qualified,2026-02-03,2026-02-09
D00015,Demo,2026-02-09,2026-02-17
D00015,Proposal,2026-02-17,2026-03-03
D00015,Negotiation,2026-03-03,2026-03-10
D00016,Lead,2024-11-25,2024-11-30
D00016,Qualified,2024-11-30,2024-12-06
D00016,Demo,2024-12-06,2024-12-20
D00016,Proposal,2024-12-20,2025-01-04
D00016,Negotiation,2025-01-04,2025-01-15
D00017,Lead,2024-09-06,2024-09-12
D00017,Qualified,2024-09-12,2024-09-19
D00018,Lead,2025-11-14,2025-11-18
D00018,Qualified,2025-11-18,2025-11-23
D00018,Demo,2025-11-23,2025-12-01
D00018,Proposal,2025-12-01,2025-12-14
D00018,Negotiation,2025-12-14,2025-12-19
D00019,Lead,2026-06-04,2026-06-09
D00019,Qualified,2026-06-09,2026-06-16
D00019,Demo,2026-06-16,2026-07-03
D00019,Proposal,2026-07-03,2026-07-19
D00019,Negotiation,2026-07-19,
D00020,Lead,2024-10-06,2024-10-11
D00020,Qualified,2024-10-11,2024-10-14
D00020,Demo,2024-10-14,2024-10-25
D00020,Proposal,2024-10-25,2024-11-04
D00020,Negotiation,2024-11-04,2024-11-12
D00021,Lead,2026-02-06,2026-02-08
D00021,Qualified,2026-02-08,2026-02-15
D00021,Demo,2026-02-15,2026-02-26
D00021,Proposal,2026-02-26,2026-03-10
D00021,Negotiation,2026-03-10,2026-03-21
D00022,Lead,2024-11-15,2024-11-22
D00022,Qualified,2024-11-22,2024-11-30
D00022,Demo,2024-11-30,2024-12-08
D00022,Proposal,2024-12-08,2024-12-18
D00022,Negotiation,2024-12-18,2024-12-29
D00023,Lead,2026-01-21,2026-01-25
D00023,Qualified,2026-01-25,2026-02-01
